Date,Cases
2020-03-01,37
2020-03-02,18
2020-03-03,27
2020-03-04,24
2020-03-05,38
2020-03-06,50
2020-03-07,101
2020-03-08,198
2020-03-09,339
2020-03-10,289
2020-03-11,318
2020-03-12,293
2020-03-13,125
2020-03-14,169
2020-03-15,115
2020-03-16,151
2020-03-17,130
2020-03-18,133
2020-03-19,122
2020-03-20,147
2020-03-21,104
2020-03-22,98
2020-03-23,136
2020-03-24,124
2020-03-25,123
2020-03-26,105
2020-03-27,131
2020-03-28,137
2020-03-29,102
2020-03-30,132
2020-03-31,102
2020-04-01,171
2020-04-02,120
2020-04-03,89
2020-04-04,134
2020-04-05,122
2020-04-06,151
2020-04-07,140
2020-04-08,238
2020-04-09,448
2020-04-10,230
2020-04-11,365
2020-04-12,302
2020-04-13,111
2020-04-14,114
2020-04-15,121
2020-04-16,119
2020-04-17,100
2020-04-18,122
2020-04-19,56
2020-04-20,110
2020-04-21,99
2020-04-22,106
2020-04-23,97
2020-04-24,107
2020-04-25,109
2020-04-26,80
2020-04-27,116
2020-04-28,135
2020-04-29,116
2020-04-30,148
2020-05-01,145
2020-05-02,84
2020-05-03,88
2020-05-04,143
2020-05-05,171
2020-05-06,147
2020-05-07,132
2020-05-08,253
2020-05-09,294
2020-05-10,412
2020-05-11,371
2020-05-12,300
2020-05-13,160
2020-05-14,180
2020-05-15,196
2020-05-16,113
2020-05-17,77
2020-05-18,201
2020-05-19,232
2020-05-20,240
2020-05-21,212
2020-05-22,212
2020-05-23,149
2020-05-24,67
2020-05-25,126
2020-05-26,207
2020-05-27,229
2020-05-28,201
2020-05-29,147
2020-05-30,111
2020-05-31,92
2020-06-01,246
2020-06-02,195
2020-06-03,215
2020-06-04,244
2020-06-05,212
2020-06-06,124
2020-06-07,117
2020-06-08,393
2020-06-09,351
2020-06-10,542
2020-06-11,535
2020-06-12,251
2020-06-13,159
2020-06-14,147
2020-06-15,375
2020-06-16,287
2020-06-17,342
2020-06-18,372
2020-06-19,364
2020-06-20,430
2020-06-21,181
2020-06-22,483
2020-06-23,467
2020-06-24,510
2020-06-25,724
2020-06-26,511
2020-06-27,376
2020-06-28,309
2020-06-29,923
2020-06-30,1025
2020-07-01,1097
2020-07-02,994
2020-07-03,981
2020-07-04,645
2020-07-05,553
2020-07-06,1250
2020-07-07,1252
2020-07-08,1249
2020-07-09,1762
2020-07-10,1602
2020-07-11,1192
2020-07-12,931
2020-07-13,1350
2020-07-14,1284
2020-07-15,1657
2020-07-16,1710
2020-07-17,1804
2020-07-18,1196
2020-07-19,598
2020-07-20,1917
2020-07-21,1855
2020-07-22,1903
2020-07-23,1909
2020-07-24,2001
2020-07-25,1118
2020-07-26,748
2020-07-27,2251
2020-07-28,1835
2020-07-29,1586
2020-07-30,1693
2020-07-31,1193
2020-08-01,1064
2020-08-02,603
2020-08-03,1727
2020-08-04,1766
2020-08-05,1546
2020-08-06,1850
2020-08-07,1805
2020-08-08,1112
2020-08-09,937
2020-08-10,2256
2020-08-11,2100
2020-08-12,2010
2020-08-13,1599
2020-08-14,1653
2020-08-15,869
2020-08-16,519
2020-08-17,1738
2020-08-18,1555
2020-08-19,1402
2020-08-20,1419
2020-08-21,1070
2020-08-22,725
2020-08-23,504
2020-08-24,1528
2020-08-25,1453
2020-08-26,1411
2020-08-27,1339
2020-08-28,1265
2020-08-29,620
2020-08-30,395
2020-08-31,821
2020-09-01,1479
2020-09-02,1451
2020-09-03,1376
2020-09-04,1257
2020-09-05,594
2020-09-06,382
2020-09-07,831
2020-09-08,1163
2020-09-09,1122
2020-09-10,960
2020-09-11,803
2020-09-12,1174
2020-09-13,750
2020-09-14,896
2020-09-15,828
2020-09-16,912
2020-09-17,1051
2020-09-18,934
2020-09-19,369
2020-09-20,274
2020-09-21,807
2020-09-22,780
2020-09-23,741
2020-09-24,687
2020-09-25,688
2020-09-26,378
2020-09-27,250
2020-09-28,741
2020-09-29,637
2020-09-30,682
2020-10-01,715
2020-10-02,482
2020-10-03,381
2020-10-04,240
2020-10-05,633
2020-10-06,593
2020-10-07,542
2020-10-08,486
2020-10-09,484
2020-10-10,294
2020-10-11,266
2020-10-12,659
2020-10-13,474
2020-10-14,461
2020-10-15,377
2020-10-16,355
2020-10-17,237
2020-10-18,222
2020-10-19,436
2020-10-20,447
2020-10-21,336
2020-10-22,301
2020-10-23,318
2020-10-24,214
2020-10-25,132
2020-10-26,300
2020-10-27,351
2020-10-28,348
2020-10-29,284
2020-10-30,348
2020-10-31,184
2020-11-01,125
2020-11-02,178
2020-11-03,446
2020-11-04,344
2020-11-05,341
2020-11-06,351
2020-11-07,179
2020-11-08,120
2020-11-09,286
2020-11-10,347
2020-11-11,304
2020-11-12,178
2020-11-13,192
2020-11-14,202
2020-11-15,121
2020-11-16,302
2020-11-17,256
2020-11-18,289
2020-11-19,218
2020-11-20,305
2020-11-21,172
2020-11-22,116
2020-11-23,272
2020-11-24,272
2020-11-25,346
2020-11-26,284
2020-11-27,261
2020-11-28,211
2020-11-29,114
2020-11-30,181
2020-12-01,349
2020-12-02,295
2020-12-03,267
2020-12-04,325
2020-12-05,182
2020-12-06,108
2020-12-07,345
2020-12-08,211
2020-12-09,363
2020-12-10,295
2020-12-11,272
2020-12-12,195
2020-12-13,105
2020-12-14,384
2020-12-15,386
2020-12-16,314
2020-12-17,333
2020-12-18,343
2020-12-19,260
2020-12-20,125
2020-12-21,436
2020-12-22,284
2020-12-23,228
2020-12-24,109
2020-12-25,92
2020-12-26,186
2020-12-27,116
2020-12-28,402
2020-12-29,279
2020-12-30,179
2020-12-31,129
2021-01-01,554
2021-01-02,287
2021-01-03,301
2021-01-04,723
2021-01-05,342
2021-01-06,291
2021-01-07,354
2021-01-08,282
2021-01-09,197
2021-01-10,145
2021-01-11,356
2021-01-12,334
2021-01-13,312
2021-01-14,301
2021-01-15,320
2021-01-16,199
2021-01-17,111
2021-01-18,387
2021-01-19,329
2021-01-20,297
2021-01-21,301
2021-01-22,273
2021-01-23,219
2021-01-24,123
2021-01-25,319
2021-01-26,287
2021-01-27,330
2021-01-28,274
2021-01-29,278
2021-01-30,195
2021-01-31,103
2021-02-01,345
2021-02-02,236
2021-02-03,415
2021-02-04,384
2021-02-05,348
2021-02-06,218
2021-02-07,150
2021-02-08,350
2021-02-09,311
2021-02-10,311
2021-02-11,365
2021-02-12,229
2021-02-13,212
2021-02-14,149
2021-02-15,482
2021-02-16,472
2021-02-17,446
2021-02-18,519
2021-02-19,596
